unknown_0:  מה זה config task?
unknown_1:  אני לא יודע מה זה config.
unknown_2:  זה task.
Abraham:  מה זה config?
Yosef:  config זה קיצור של config.
Yosef:  קונפיג זה בקיצור של Configuration
unknown_5:  זה כל שני היום, קישור של מגע ומגעה לעומתי?
Yosef:  אה, קונפיג של הפועל זה קיצור של Configuration
Yosef:  מה נשמע?
Yosef:  רגע, יש לנו פרנציאלס.
unknown_6:  מה נשמע?
Yosef:  יש לי משהו קטן, יש לי פרפל
John:  אני בירושלים, ובאתי לסוף קצת אינטרנט.
John:  בבית יש לי אינטרנט גרוע, אז אני מלא פעם מגיע לפה.
John:  לעשות דברים שצריך הרבה אינטרנט.
unknown_7:  תודה רבה ולהתראות!
John:  תחשב שאני שותף אתכם, אתם רוצים לראות אותו כאילו, שזה לא...
Yosef:  את מה? את הסטרימינג?
unknown_9:  כן.
Abraham:  איפה התינוק שלך?
Abraham:  איפה התינוק?
Abraham:  וואו...
Abraham:  רגע...
unknown_14:  איזה יוקי...
unknown_16:  אני לא אצליח לעשות את זה.
unknown_17:  מי זה ג'ון הזה?
John:  יש לו מלא רעש, הוא שומע את כל מה שיש לנו סביב.
unknown_18:  לא, אין בעיה, דווקא...
unknown_19:  תודה רבה ולהתראות מאיפה זה מגיע.
unknown_21:  זה יוסף אבל יוסף שהוזיע זה באמת יוסף?
John:  לא, זה אברהם.
unknown_22:  אה, בגלל שאברהם הוזיע יוסף, אז זה...
John:  כן, זה אני צריך לצלול בפרונט שזה לא, קיצור, הוא לא עושה את זה בהיגיון, זה אמור להתאפוך,
John:  כאילו, צריך להסביר את ההיגיון, הוא לא מבין את זה, מי שאומר את השם הזה, הוא אומר שזה הוא,
John:  קודם להגיד, כאילו, קודם דוקר, מי פנו ומי ענה, מי ענה זה השם שלו, הוא לא חד על זה.
unknown_23:  תודה רבה.
John:  קיצור, בסדר. זהו, מה עכשיו הוא נתקע? מה קרה לו? למה הוא לא ממשיך?
unknown_25:  עכשיו הוא נתקע, מה קרה לו? למה הוא לא ממשיך?
John:  תודה רבה לכם ולהתראות בסרטון.
John:  קיצור, הבנתי איך אפשר לעשות שזה יתחבר עם כל מחשב, גם בנסיבה עצמו לא חשב שזה אפשרי.
John:  ומתברר שאם כתבים לו HTTPS במקום תראה, אז אפשר להתחבר מכל מחשב.
John:  כלומר, אפשר להפליג את הכל הזה לכל לורד דרכי ב-AWS ולהתחבר.
John:  קודם כל, זה לא מגביל את הבן אדם, רק צריך להגדיר בזום, וכן זה היה פעם הצלחנו.
John:  הגדלתי משהו אחר בזום, ואז זה כן עבד.
Yosef:  אוקיי, אבל למה זה מעניין בעיקרון להתחבר מכל מכשם?
John:  לא, זה סתם כי זה לא מגביל את הבן אדם, כי זה יכול...
John:  לא, זה סתם כזה לא מגביל את הבן אדם. אם יש חברה שיש לה שרת שהוא לא ב-AWS אלא במקום אחר, היא גם יכולה להתחבר.
John:  לא צריך להיות דווקא ב-AWS. סתם, זה לא כזה.
John:  ומה הם חושבים בעיקרון, מה מתוך זה אפשרי לעשות בסקריפט, כאילו, כשהוא מריץ ובונה את ה...
John:  וואלה, כשהוא חושב שאתה רוב אפשר.
John:  אז זה מה שבכלל שצריך לשאול את הלב.
John:  כלומר, להתחיל לראות איך אפשר להכין איזשהו סקריפט, שמריצים אותו לבניית פרויקט.
John:  אני מה שעבדתי היום, אני ממש כבר בשלבי סיום של זה,
John:  זה לעשות את הבנייה של ה-Database הראשוני.
John:  כלומר, בהתחלה הוא מקבל רק...
John:  אמרתי בוא נבנה רק על הטרלו.
John:  בוא נבנה רק על הטרלו בהתחלה, נקבל כאילו על הטרלו, נקבל משם ליסט של שמות, ליסט של משימות שקיימות,
John:  מה נראה לו שלפי זה צריך להיות, ואז יש פונקציה שעושה קריאה, כאילו פעם ראשונה, כלומר אם אין דאטאבייס אז קריאה את דאטאבייס, פונקציה שיוצרת את הדאטאבייס,
John:  כלומר, רציתי להספיק עכשיו, אבל לא הספקתי כבר לפני זה. כלומר, אין סיבה שלא יהיה אימבדינג, אין סיבה שלא יהיה אימבדינג לבדוק מראש.
John:  כלומר, כבר אני שומר את האימבדינג לכל דובר, ואם זה לא מזוהה, אז אני זה.
Yosef:  קודם כל לא דאטאבייס, דאטאפריים, אוקיי?
Yosef:  תתרגל לדאטאפריים.
Yosef:  אני מנסה לחשוב אבל...
John:  בקוראים לזה מקומית תוך פונקציה, אתה שומר בדאטאבייס, סתם זה יוצא עם שני, בסדר?
Yosef:  דאטאפריים שומרים בדאטאבייס.
unknown_32:  כן.
John:  אוקיי.
John:  נו, בסוף הנושא, כן, אני יכול לעשות פה CSV שהוא סוג של דאטאבייס כאילו.
Yosef:  לא, ה-CSV הוא הדאטאפריים.
unknown_34:  בסדר.
Yosef:  AWS זה הדאטאבייס.
Yosef:  בעיקרון זה לא באמת ההגדרות הנכונות.
Yosef:  בעיקרון דאטאבייס זה מה שנקרא, זה סוג שנקרא לזה מבנה נתונים.
Yosef:  זה סוג של נקרא לזה מבנה נתונים, שבנוי לשמירה של דאטה פריימים, אוקיי?
